gov_delivery_id,country_slug
UKGOVUK_392,afghanistan
UKGOVUK_393,albania
UKGOVUK_394,algeria
UKGOVUK_395,american-samoa
UKGOVUK_396,andorra
UKGOVUK_397,angola
UKGOVUK_398,anguilla
UKGOVUK_399,antigua-and-barbuda
UKGOVUK_400,argentina
UKGOVUK_401,armenia
UKGOVUK_402,aruba
UKGOVUK_403,australia
UKGOVUK_404,austria
UKGOVUK_405,azerbaijan
UKGOVUK_406,bahamas
UKGOVUK_407,bahrain
UKGOVUK_408,bangladesh
UKGOVUK_409,barbados
UKGOVUK_410,belarus
UKGOVUK_411,belgium
UKGOVUK_412,belize
UKGOVUK_413,benin
UKGOVUK_414,bermuda
UKGOVUK_415,bhutan
UKGOVUK_416,bolivia
UKGOVUK_417,bonaire-st-eustatius-saba
UKGOVUK_418,bosnia-and-herzegovina
UKGOVUK_419,botswana
UKGOVUK_420,brazil
UKGOVUK_421,british-antarctic-territory
UKGOVUK_422,british-indian-ocean-territory
UKGOVUK_423,british-virgin-islands
UKGOVUK_424,brunei
UKGOVUK_425,bulgaria
UKGOVUK_426,burkina-faso
UKGOVUK_427,burma
UKGOVUK_428,burundi
UKGOVUK_429,cambodia
UKGOVUK_430,cameroon
UKGOVUK_431,canada
UKGOVUK_432,cape-verde
UKGOVUK_433,cayman-islands
UKGOVUK_434,central-african-republic
UKGOVUK_435,chad
UKGOVUK_436,chile
UKGOVUK_437,china
UKGOVUK_438,colombia
UKGOVUK_439,comoros
UKGOVUK_440,congo
UKGOVUK_442,costa-rica
UKGOVUK_444,croatia
UKGOVUK_445,cuba
UKGOVUK_446,curacao
UKGOVUK_447,cyprus
UKGOVUK_448,czech-republic
UKGOVUK_441,democratic-republic-of-congo
UKGOVUK_449,denmark
UKGOVUK_450,djibouti
UKGOVUK_451,dominica
UKGOVUK_452,dominican-republic
UKGOVUK_453,ecuador
UKGOVUK_454,egypt
UKGOVUK_455,el-salvador
UKGOVUK_456,equatorial-guinea
UKGOVUK_457,eritrea
UKGOVUK_458,estonia
UKGOVUK_459,ethiopia
UKGOVUK_460,falkland-islands
UKGOVUK_461,fiji
UKGOVUK_462,finland
UKGOVUK_463,france
UKGOVUK_464,french-guiana
UKGOVUK_465,french-polynesia
UKGOVUK_466,gabon
UKGOVUK_467,gambia
UKGOVUK_468,georgia
UKGOVUK_469,germany
UKGOVUK_470,ghana
UKGOVUK_471,gibraltar
UKGOVUK_472,greece
UKGOVUK_473,grenada
UKGOVUK_474,guadeloupe
UKGOVUK_475,guatemala
UKGOVUK_476,guinea
UKGOVUK_477,guinea-bissau
UKGOVUK_478,guyana
UKGOVUK_479,haiti
UKGOVUK_480,holy-see
UKGOVUK_481,honduras
UKGOVUK_482,hong-kong
UKGOVUK_483,hungary
UKGOVUK_484,iceland
UKGOVUK_485,india
UKGOVUK_486,indonesia
UKGOVUK_487,iran
UKGOVUK_488,iraq
UKGOVUK_489,ireland
UKGOVUK_490,israel
UKGOVUK_492,italy
UKGOVUK_443,cote-d-ivoire
UKGOVUK_493,jamaica
UKGOVUK_494,japan
UKGOVUK_495,jerusalem
UKGOVUK_496,jordan
UKGOVUK_497,kazakhstan
UKGOVUK_498,kenya
UKGOVUK_499,kiribati
UKGOVUK_502,kosovo
UKGOVUK_503,kuwait
UKGOVUK_504,kyrgyzstan
UKGOVUK_505,laos
UKGOVUK_506,latvia
UKGOVUK_507,lebanon
UKGOVUK_508,lesotho
UKGOVUK_509,liberia
UKGOVUK_510,libya
UKGOVUK_511,liechtenstein
UKGOVUK_512,lithuania
UKGOVUK_513,luxembourg
UKGOVUK_514,macao
UKGOVUK_515,macedonia
UKGOVUK_516,madagascar
UKGOVUK_517,malawi
UKGOVUK_518,malaysia
UKGOVUK_519,maldives
UKGOVUK_520,mali
UKGOVUK_521,malta
UKGOVUK_522,marshall-islands
UKGOVUK_523,martinique
