gov_delivery_id,country_slug
UKGOVUK_524,mauritania
UKGOVUK_525,mauritius
UKGOVUK_526,mayotte
UKGOVUK_527,mexico
UKGOVUK_528,micronesia
UKGOVUK_529,moldova
UKGOVUK_530,monaco
UKGOVUK_531,mongolia
UKGOVUK_532,montenegro
UKGOVUK_533,montserrat
UKGOVUK_534,morocco
UKGOVUK_535,mozambique
UKGOVUK_536,namibia
UKGOVUK_537,nauru
UKGOVUK_538,nepal
UKGOVUK_539,netherlands
UKGOVUK_540,new-caledonia
UKGOVUK_541,new-zealand
UKGOVUK_542,nicaragua
UKGOVUK_543,niger
UKGOVUK_544,nigeria
UKGOVUK_501,north-korea
UKGOVUK_545,norway
UKGOVUK_546,oman
UKGOVUK_547,pakistan
UKGOVUK_548,palau
UKGOVUK_549,panama
UKGOVUK_550,papua-new-guinea
UKGOVUK_551,paraguay
UKGOVUK_552,peru
UKGOVUK_553,philippines
UKGOVUK_554,pitcairn-island
UKGOVUK_555,poland
UKGOVUK_556,portugal
UKGOVUK_557,qatar
UKGOVUK_558,reunion
UKGOVUK_559,romania
UKGOVUK_560,russia
UKGOVUK_561,rwanda
UKGOVUK_562,samoa
UKGOVUK_563,san-marino
UKGOVUK_564,sao-tome-and-principe
UKGOVUK_565,saudi-arabia
UKGOVUK_566,senegal
UKGOVUK_567,serbia
UKGOVUK_568,seychelles
UKGOVUK_569,sierra-leone
UKGOVUK_570,singapore
UKGOVUK_571,slovakia
UKGOVUK_572,slovenia
UKGOVUK_573,solomon-islands
UKGOVUK_574,somalia
UKGOVUK_575,south-africa
UKGOVUK_576,south-georgia-and-south-sandwich-islands
UKGOVUK_500,south-korea
UKGOVUK_577,south-sudan
UKGOVUK_578,spain
UKGOVUK_579,sri-lanka
UKGOVUK_580,st-helena-ascension-and-tristan-da-cunha
UKGOVUK_581,st-kitts-and-nevis
UKGOVUK_582,st-lucia
UKGOVUK_583,st-maarten
UKGOVUK_584,st-pierre-and-miquelon
UKGOVUK_585,st-vincent-and-the-grenadines
UKGOVUK_586,sudan
UKGOVUK_587,suriname
UKGOVUK_588,swaziland
UKGOVUK_589,sweden
UKGOVUK_590,switzerland
UKGOVUK_591,syria
UKGOVUK_592,taiwan
UKGOVUK_593,tajikistan
UKGOVUK_594,tanzania
UKGOVUK_595,thailand
UKGOVUK_491,the-occupied-palestinian-territories
UKGOVUK_596,timor-leste
UKGOVUK_597,togo
UKGOVUK_598,tonga
UKGOVUK_599,trinidad-and-tobago
UKGOVUK_600,tunisia
UKGOVUK_601,turkey
UKGOVUK_602,turkmenistan
UKGOVUK_603,turks-and-caicos-islands
UKGOVUK_604,tuvalu
UKGOVUK_605,uganda
UKGOVUK_606,ukraine
UKGOVUK_607,united-arab-emirates
UKGOVUK_609,uruguay
UKGOVUK_608,usa
UKGOVUK_610,uzbekistan
UKGOVUK_611,vanuatu
UKGOVUK_612,venezuela
UKGOVUK_613,vietnam
UKGOVUK_614,wallis-and-futuna
UKGOVUK_615,western-sahara
UKGOVUK_616,yemen
UKGOVUK_617,zambia
UKGOVUK_618,zimbabwe
