slug,matching_criteria,new_criteria
your-get-ready-for-brexit-results-5f36ca74db,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""agriculture-farm"",""charity"",""research"",""export-to-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""eu-uk-funding"",""eu-funding"",""uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""agriculture-farm"",""charity"",""research"",""export-to-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""eu-uk-funding"",""eu-funding"",""uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-7306d66d4d,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""legal-service"",""sell-goods-provide-services-in-uk"",""provide-services-do-business-in-eu"",""ip"",""ip-copyright"",""ip-trade-marks"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-uk"",""visiting-eu"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""legal-service"",""sell-goods-provide-services-in-uk"",""provide-services-do-business-in-eu"",""ip"",""ip-copyright"",""ip-trade-marks"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-uk"",""visiting-eu"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-9b820522ee,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""construction"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""construction"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-096408722a,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""personal-service"",""sell-goods-provide-services-in-uk"",""ip"",""ip-copyright"",""ip-designs"",""sell-public-sector"",""eu-uk-funding"",""uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""join-family-uk-yes"",""visiting-driving"",""travelling"",""visiting-uk"",""working-eu"",""living-eu"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""personal-service"",""sell-goods-provide-services-in-uk"",""ip"",""ip-copyright"",""ip-designs"",""sell-public-sector"",""eu-uk-funding"",""uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""join-family-uk-yes"",""visiting-driving"",""travelling"",""visiting-uk"",""working-eu"",""living-eu"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
brexit-checklist-charity-do-not-eu-uk-funding-do-not-ip-employ-eu-citizens-health-living-uk-nationality-uk-owns-operates-business-organisation-personal-eu-org-sell-goods-provide-services-in-uk-sell-public-sector-travelling-working-uk,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""charity"",""health"",""sell-goods-provide-services-in-uk"",""do-not-ip"",""sell-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""charity"",""health"",""sell-goods-provide-services-in-uk"",""do-not-ip"",""sell-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-1d3553fb2b,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""retail-wholesale-x-food-drink-motors"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""retail-wholesale-x-food-drink-motors"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-ecc23db1da,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""legal-service"",""digital"",""sell-goods-provide-services-in-uk"",""provide-services-do-business-in-eu"",""ip"",""ip-copyright"",""ip-trade-marks"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""legal-service"",""digital"",""sell-goods-provide-services-in-uk"",""provide-services-do-business-in-eu"",""ip"",""ip-copyright"",""ip-trade-marks"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-e27ef7e838,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""install-service-repair"",""marine-transport"",""construction"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""install-service-repair"",""marine-transport"",""construction"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-18281e5f01,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""culture"",""sell-goods-provide-services-in-uk"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""working-uk"",""working-eu"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""culture"",""sell-goods-provide-services-in-uk"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""working-uk"",""working-eu"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-386fd181ba,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""consumer-goods"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""export-to-eu"",""ip"",""ip-trade-marks"",""ip-designs"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""consumer-goods"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""export-to-eu"",""ip"",""ip-trade-marks"",""ip-designs"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling-no"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-2d421c4888,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""food-drink-tobacco"",""retail-wholesale-x-food-drink-motors"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""food-drink-tobacco"",""retail-wholesale-x-food-drink-motors"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
brexit-checklist-do-not-employ-eu-citizens-do-not-eu-uk-funding-do-not-sell-to-public-sector-ip-living-uk-nationality-row-owns-operates-business-organisation-personal-eu-org-personal-service-sell-goods-provide-services-in-uk-travelling-working-uk,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""personal-service"",""sell-goods-provide-services-in-uk"",""ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""working-uk"",""living-uk"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""personal-service"",""sell-goods-provide-services-in-uk"",""ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""working-uk"",""living-uk"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-8884a7a5cf,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""install-service-repair"",""agriculture-farm"",""animal-ex-food"",""construction"",""oil-gas-coal"",""renewables"",""consumer-goods"",""mining"",""food-drink-tobacco"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""ip"",""ip-copyright"",""ip-trade-marks"",""ip-patents"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""install-service-repair"",""agriculture-farm"",""animal-ex-food"",""construction"",""oil-gas-coal"",""renewables"",""consumer-goods"",""mining"",""food-drink-tobacco"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""export-to-eu"",""haulage-goods-across-eu-borders"",""ip"",""ip-copyright"",""ip-trade-marks"",""ip-patents"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
brexit-checklist-do-not-employ-eu-citizens-eu-uk-funding-ip-living-uk-nationality-row-owns-operates-business-organisation-personal-eu-org-provide-services-do-business-in-eu-sell-public-sector-sports-studying-uk-travelling-vet,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""vet"",""sports"",""provide-services-do-business-in-eu"",""ip"",""sell-public-sector"",""eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""studying-uk"",""living-uk"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""vet"",""sports"",""provide-services-do-business-in-eu"",""ip"",""sell-public-sector"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""studying-uk"",""living-uk"",""nationality-row""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
