slug,matching_criteria,new_criteria
your-get-ready-for-brexit-results-c8ce2904dc,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""aero-space"",""sell-goods-provide-services-in-uk"",""ip"",""ip-copyright"",""sell-public-sector"",""sell-public-sector-contracts"",""eu-uk-funding"",""uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-bring-pet"",""travelling"",""visiting-uk"",""working-uk"",""living-uk"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""aero-space"",""sell-goods-provide-services-in-uk"",""ip"",""ip-copyright"",""sell-public-sector"",""sell-public-sector-contracts"",""eu-uk-funding"",""uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-bring-pet"",""travelling"",""visiting-uk"",""working-uk"",""living-uk"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
brexit-checklist-do-not-ip-employ-eu-citizens-ip-trade-marks-living-uk-nationality-uk-owns-operates-business-organisation-personal-eu-org-personal-service-sell-goods-provide-services-in-uk-sell-public-sector-travelling-working-uk,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""personal-service"",""sell-goods-provide-services-in-uk"",""ip-trade-marks"",""do-not-ip"",""sell-public-sector"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""personal-service"",""sell-goods-provide-services-in-uk"",""ip-trade-marks"",""do-not-ip"",""sell-public-sector"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
brexit-checklist-charity-do-not-eu-uk-funding-do-not-ip-employ-eu-citizens-health-join-family-uk-no-living-eu-nationality-eu-owns-operates-business-organisation-personal-eu-org-sell-public-sector-sell-public-sector-contracts,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""charity"",""health"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""join-family-uk-no"",""living-eu"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""charity"",""health"",""do-not-ip"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""join-family-uk-no"",""living-eu"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-27a6a2f5bd,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""legal-service"",""construction"",""creative"",""real-estate"",""sell-goods-provide-services-in-uk"",""provide-services-do-business-in-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""legal-service"",""construction"",""creative"",""real-estate"",""sell-goods-provide-services-in-uk"",""provide-services-do-business-in-eu"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""do-not-employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-ebb4b1a067,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""electronic-machinery"",""install-service-repair"",""agriculture-farm"",""research"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""sell-public-sector"",""sell-public-sector-contracts"",""sell-defence-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-uk"",""visiting-eu"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""automotive"",""electronic-machinery"",""install-service-repair"",""agriculture-farm"",""research"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""sell-public-sector"",""sell-public-sector-contracts"",""sell-defence-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-uk"",""visiting-eu"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-6bd6b5028a,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""medical-tech"",""consumer-goods"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""ip-copyright"",""ip-trade-marks"",""ip-designs"",""ip-patents"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""travelling"",""visiting-eu"",""visiting-row"",""working-uk"",""working-eu"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""medical-tech"",""consumer-goods"",""sell-goods-provide-services-in-uk"",""import-from-eu"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""ip-copyright"",""ip-trade-marks"",""ip-designs"",""ip-patents"",""sell-public-sector"",""sell-public-sector-contracts"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""visiting-driving"",""travelling"",""visiting-eu"",""visiting-row"",""working-uk"",""working-eu"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-6677a63289,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""aero-space"",""agriculture-farm"",""personal-service"",""charity"",""construction"",""defence"",""electricity"",""gamble"",""insurance"",""pharma"",""digital"",""consumer-goods"",""chemical"",""justice-including-prisons"",""education"",""motor-trade"",""accommodation"",""port-airports"",""sell-goods-provide-services-in-uk"",""ip"",""ip-trade-marks"",""sell-public-sector"",""eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""aero-space"",""agriculture-farm"",""personal-service"",""charity"",""construction"",""defence"",""electricity"",""gamble"",""insurance"",""pharma"",""digital"",""consumer-goods"",""chemical"",""justice-including-prisons"",""education"",""motor-trade"",""accommodation"",""port-airports"",""sell-goods-provide-services-in-uk"",""ip"",""ip-trade-marks"",""sell-public-sector"",""eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-feae2ca046,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""retail-wholesale-x-food-drink-motors"",""sell-goods-provide-services-in-uk"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""retail-wholesale-x-food-drink-motors"",""sell-goods-provide-services-in-uk"",""export-to-eu"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
brexit-checklist-creative-do-not-eu-uk-funding-do-not-ip-do-not-sell-to-public-sector-employ-eu-citizens-living-uk-media-nationality-uk-owns-operates-business-organisation-personal-eu-org-travelling-visiting-eu-visiting-row-working-uk,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""media"",""creative"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""media"",""creative"",""do-not-ip"",""do-not-sell-to-public-sector"",""do-not-eu-uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling"",""visiting-eu"",""visiting-row"",""working-uk"",""living-uk"",""nationality-uk""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
your-get-ready-for-brexit-results-81e7dae779,"{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""charity"",""voluntary"",""finance"",""education"",""research"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""ip-designs"",""ip-patents"",""sell-public-sector"",""sell-public-sector-contracts"",""eu-uk-funding"",""eu-funding"",""uk-funding"",""personal-eu-org"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling-no"",""working-uk"",""living-uk"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}","{""document_type"":"""",""tags"":{""brexit_checklist_criteria"":{""any"":[""charity"",""voluntary"",""finance"",""education"",""research"",""provide-services-do-business-in-eu"",""haulage-goods-across-eu-borders"",""ip"",""ip-designs"",""ip-patents"",""sell-public-sector"",""sell-public-sector-contracts"",""eu-uk-funding"",""eu-funding"",""uk-funding"",""personal-eu-org-process"",""personal-eu-org-use"",""personal-eu-org-provide"",""employ-eu-citizens"",""owns-operates-business-organisation"",""travelling-no"",""working-uk"",""living-uk"",""nationality-eu""]}},""links"":{},""email_document_supertype"":"""",""government_document_supertype"":""""}"
