slug,proportion
coronavirus-covid-19,0.2
guidance-and-regulation-with-topic-of-coronavirus-covid-19,1
news-and-communications-with-topic-of-coronavirus-covid-19,1
managing-your-business-during-coronavirus,1
how-you-can-help-during-coronavirus,1
all-documents-filtered-by-statistics-published-and-topic-of-coronavirus-covid-19,1
testing-for-coronavirus-covid-19,1
guidance-and-regulation-with-topics-of-coronavirus-covid-19-and-healthcare-workers-carers-and-care-settings-during-coronavirus,1
protecting-yourself-and-others-from-coronavirus,1
closures-exams-and-managing-a-school-or-early-years-setting-during-coronavirus,1
pupil-wellbeing-and-safety-during-coronavirus,1
school-curriculum-and-teaching-during-coronavirus,1
business-closures-during-coronavirus,1
your-responsibilities-as-an-employer-during-coronavirus,1
further-and-higher-education-and-vocational-training-during-coronavirus,1
news-and-communications-with-topics-of-coronavirus-covid-19-and-work-financial-support-and-money-during-coronavirus,1
news-and-communications-with-topics-of-coronavirus-covid-19-and-support-for-businesses-and-self-employed-people-during-coronavirus,1
not-working-or-working-less-financial-help-during-coronavirus,1
holiday-and-sick-leave-during-coronavirus,1
student-accommodation-travel-and-financial-support-during-coronavirus,1
news-and-communications-with-topics-of-coronavirus-covid-19-and-international-travel-immigration-and-repatriation-during-coronavirus,1
news-and-communications-with-organisation-of-public-health-england-and-topic-of-coronavirus-covid-19,1
support-for-self-employed-people-and-sole-traders-during-coronavirus,1
working-safely-during-coronavirus,1
working-from-home-during-coronavirus,1
funding-and-support-for-education-providers-during-coronavirus,1
transition-p,0.2
brexit-ireland,1
brexit,1
news-and-communications-with-topic-of-brexit-2-untagged,1
guidance-and-regulation-with-topic-of-brexit,1
news-and-communications-with-topic-of-brexit-untagged,1
transition-period-164540fcc8,1
policy-papers-and-consultations-with-topic-of-brexit,1
brexit-3,1
brexit-2,1
brexit-romania,1
transition-period-1d57b7bdd6,1
transition-period-78c2520af9,1
publications-related-to-brexit,1
transition-period-60082e6e25,1
brexit-netherlands,1
transition-period-f3afe82299,1
guidance-and-regulation-with-organisation-of-medicines-and-healthcare-products-regulatory-agency-and-topic-of-brexit,1
transition-period-61415d3689,1
news-and-communications-with-topics-of-brexit-and-brexit,1
transition-period-3abc9b1287,1
news-and-communications-with-topics-of-health-and-social-care-brexit-and-1-other-topic-2-untagged,1
transition-period-5194921d77,1
news-and-communications-with-organisation-of-prime-minister-s-office-10-downing-street-and-topic-of-brexit-untagged,1
guidance-and-regulation-with-organisation-of-department-for-environment-food-rural-affairs-and-topic-of-brexit,1
announcements-related-to-brexit,1
news-and-communications-with-topics-of-business-and-industry-and-brexit-untagged,1
policy-papers-and-consultations-with-4-document-types-and-topic-of-brexit,1
news-and-communications-with-organisations-of-department-for-exiting-the-european-union-department-for-international-development-department-for-international-trade-and-department-for-international-trade-defence-security-organisation-and-topic-of-brexit,1
news-and-communications-with-organisations-of-hm-revenue-customs-and-hm-treasury-and-topic-of-brexit-untagged,1
news-and-communications-with-world-location-of-spain-and-topics-of-going-and-being-abroad-and-brexit-untagged,1
transparency-and-freedom-of-information-with-3-all-releases-and-topic-of-transition-period,1
transition-period-ae199ae278,1
guidance-and-regulation-with-organisation-of-department-for-education-and-topics-of-education-training-and-skills-and-transition-period,1
publications-related-to-home-office-and-brexit,1
news-and-communications-with-topics-of-international-and-brexit-untagged,1
news-and-communications-with-world-location-of-spain-and-topic-of-brexit-untagged,1
news-and-communications-with-topics-of-government-and-brexit-untagged,1
news-and-communications-with-topics-of-health-and-social-care-and-brexit-untagged,1
transparency-and-freedom-of-information-with-topic-of-brexit,1
news-and-communications-with-organisations-of-cabinet-office-cabinet-office-board-closed-organisation-h-m-customs-and-excise-and-closed-organisation-revenue-and-customs-prosecutions-office-and-topic-of-brexit,1
news-and-communications-with-organisation-of-department-for-business-energy-industrial-strategy-and-topic-of-brexit,1
